product_key,product_id,category_id,supplier_id,product_name,cost_price,retail_price,start_dttm,end_dttm,is_active
30,22,2,3,Базовый Комплект Сынок,29285.28,37942.17,2025-12-11 11:44:32.004427,2999-12-31 23:59:59.000000,True
31,23,3,4,Профессиональный Инструмент Поздравлять,141839.69,213222.88,2025-07-20 11:43:35.913557,2999-12-31 23:59:59.000000,True
32,24,3,1,Профессиональный Комплект Пища,74739.24,129254.32,2025-09-27 02:02:15.222938,2999-12-31 23:59:59.000000,True
33,25,5,1,Профессиональный Синтезатор Пасть,20956.31,28473.0,2026-04-09 07:01:05.796709,2999-12-31 23:59:59.000000,True
34,26,1,4,Профессиональный Усилитель Мотоцикл,76239.64,108070.78,2024-07-24 19:28:08.202945,2025-02-07 19:28:08.202945,False
35,26,1,4,Профессиональный Усилитель Мотоцикл,84710.71,120078.64,2025-02-07 19:28:08.202945,2999-12-31 23:59:59.000000,True
36,27,5,3,Базовый Усилитель Пространство,18702.84,33385.5,2025-07-07 18:28:08.337165,2999-12-31 23:59:59.000000,True
37,28,3,5,Акустический Набор Пропаганда,30659.62,46157.25,2026-02-05 16:10:46.842106,2999-12-31 23:59:59.000000,True
38,29,2,3,Электронный Усилитель Конструкция,69091.3,108041.96,2026-04-24 21:02:11.623960,2999-12-31 23:59:59.000000,True
39,30,5,3,Студийный Синтезатор Тесно,133741.57,219816.51,2023-11-10 01:07:43.782927,2024-05-14 01:07:43.782927,False
40,30,5,3,Студийный Синтезатор Тесно,148601.74,244240.57,2024-05-14 01:07:43.782927,2999-12-31 23:59:59.000000,True
41,31,5,5,Электронный Усилитель Грудь,45668.79,77155.11,2026-02-10 21:10:04.551931,2999-12-31 23:59:59.000000,True
42,32,4,5,Акустический Инструмент Применяться,89939.53,122256.45,2025-11-02 19:01:50.295536,2999-12-31 23:59:59.000000,True
43,33,5,5,Студийный Инструмент Призыв,87944.97,114531.37,2025-10-05 10:26:22.323211,2999-12-31 23:59:59.000000,True
44,34,4,2,Студийный Инструмент Смертельный,77681.67,125868.59,2024-04-15 20:41:25.678972,2024-11-13 20:41:25.678972,False
45,34,4,2,Студийный Инструмент Смертельный,86312.97,139853.99,2024-11-13 20:41:25.678972,2999-12-31 23:59:59.000000,True
46,35,2,4,Студийный Синтезатор Зарплата,75771.11,118724.75,2025-10-24 02:34:03.500314,2999-12-31 23:59:59.000000,True
47,36,1,2,Базовый Набор Вздрогнуть,84572.13,152134.58,2025-09-25 08:04:52.071009,2999-12-31 23:59:59.000000,True
48,37,2,4,Базовый Комплект Ставить,82394.71,132286.45,2025-10-17 20:34:21.365437,2999-12-31 23:59:59.000000,True
49,38,3,5,Электронный Набор Возможно,129278.94,176776.52,2023-08-09 14:51:37.434638,2024-02-01 14:51:37.434638,False
50,38,3,5,Электронный Набор Возможно,143643.27,196418.36,2024-02-01 14:51:37.434638,2999-12-31 23:59:59.000000,True
51,39,2,4,Акустический Синтезатор Блин,52971.67,93241.8,2025-11-20 05:26:36.100933,2999-12-31 23:59:59.000000,True
52,40,1,5,Базовый Синтезатор Мелькнуть,134468.31,193193.24,2025-11-19 12:29:07.942199,2999-12-31 23:59:59.000000,True
53,41,2,3,Профессиональный Комплект Тусклый,143341.74,178807.02,2026-03-03 07:54:29.668961,2999-12-31 23:59:59.000000,True
54,42,4,2,Студийный Усилитель Валюта,37258.9,57274.79,2024-07-30 01:32:03.766140,2024-12-04 01:32:03.766140,False
55,42,4,2,Студийный Усилитель Валюта,41398.78,63638.65,2024-12-04 01:32:03.766140,2999-12-31 23:59:59.000000,True
56,43,5,2,Студийный Инструмент Темнеть,100805.26,153085.38,2025-06-16 08:08:39.406992,2999-12-31 23:59:59.000000,True
57,44,4,3,Электронный Инструмент Издали,102497.61,131451.16,2025-12-18 16:33:53.653692,2999-12-31 23:59:59.000000,True
58,45,2,4,Электронный Синтезатор Мягкий,88137.24,145739.04,2023-09-28 10:10:59.083555,2024-03-19 10:10:59.083555,False
59,45,2,4,Электронный Синтезатор Мягкий,97930.27,161932.27,2024-03-19 10:10:59.083555,2999-12-31 23:59:59.000000,True
60,46,1,5,Студийный Усилитель Ложиться,99957.86,170947.92,2024-07-23 20:11:54.690402,2024-12-14 20:11:54.690402,False
61,46,1,5,Студийный Усилитель Ложиться,111064.29,189942.13,2024-12-14 20:11:54.690402,2999-12-31 23:59:59.000000,True
62,47,2,1,Электронный Синтезатор Идея,28760.43,47437.51,2026-05-09 08:58:29.646198,2999-12-31 23:59:59.000000,True
63,48,1,1,Акустический Усилитель Командование,90814.66,159567.98,2025-05-16 00:01:24.629844,2999-12-31 23:59:59.000000,True
64,49,5,5,Электронный Набор Вскинуть,115027.11,170333.58,2025-02-26 00:34:08.739783,2025-07-04 00:34:08.739783,False
65,49,5,5,Электронный Набор Вскинуть,127807.9,189259.53,2025-07-04 00:34:08.739783,2999-12-31 23:59:59.000000,True
66,50,4,3,Студийный Инструмент Строительство,110756.07,185456.68,2025-08-29 01:28:14.995299,2999-12-31 23:59:59.000000,True
67,51,2,5,Электронный Синтезатор Карандаш,77776.82,97379.9,2026-05-04 22:26:28.308939,2999-12-31 23:59:59.000000,True
68,52,2,4,Акустический Набор Выраженный,2017.69,2885.59,2025-10-29 18:10:43.620541,2999-12-31 23:59:59.000000,True
69,53,3,3,Базовый Усилитель Какой,2703.92,4305.21,2025-07-05 00:29:57.719841,2999-12-31 23:59:59.000000,True
70,54,1,4,Акустический Набор Приятель,61407.08,92203.48,2026-01-31 23:26:59.252796,2999-12-31 23:59:59.000000,True
71,55,3,1,Акустический Комплект Покинуть,83321.27,110940.37,2023-07-01 02:46:07.158406,2023-11-17 02:46:07.158406,False
72,55,3,1,Акустический Комплект Покинуть,92579.19,123267.08,2023-11-17 02:46:07.158406,2999-12-31 23:59:59.000000,True
73,56,5,3,Электронный Усилитель Конструкция,137006.74,226665.36,2025-08-31 18:56:26.726810,2999-12-31 23:59:59.000000,True
74,57,2,5,Профессиональный Усилитель Теория,60808.9,98647.83,2024-09-07 00:25:29.632019,2025-05-09 00:25:29.632019,False
75,57,2,5,Профессиональный Усилитель Теория,67565.45,109608.7,2025-05-09 00:25:29.632019,2999-12-31 23:59:59.000000,True
76,58,5,5,Студийный Усилитель Способ,80962.36,105147.62,2025-05-24 17:37:55.068342,2999-12-31 23:59:59.000000,True
77,59,2,5,Электронный Инструмент Район,121441.06,178189.21,2024-10-27 23:19:20.070195,2025-03-09 23:19:20.070195,False
78,59,2,5,Электронный Инструмент Район,134934.51,197988.01,2025-03-09 23:19:20.070195,2999-12-31 23:59:59.000000,True
79,60,4,5,Профессиональный Усилитель Порядок,69894.37,117712.55,2025-06-07 05:37:31.558635,2999-12-31 23:59:59.000000,True
80,61,1,2,Базовый Инструмент Ломать,6973.36,9809.55,2023-08-07 06:35:49.120136,2023-11-30 06:35:49.120136,False
81,61,1,2,Базовый Инструмент Ломать,7748.18,10899.5,2023-11-30 06:35:49.120136,2999-12-31 23:59:59.000000,True
82,62,1,4,Профессиональный Комплект Наслаждение,61921.17,102874.79,2025-11-17 02:00:29.271485,2999-12-31 23:59:59.000000,True
83,63,4,3,Электронный Синтезатор Оставить,130573.42,227727.93,2025-11-09 10:58:42.900524,2999-12-31 23:59:59.000000,True
84,64,5,2,Акустический Инструмент Рассуждение,27592.57,42005.69,2026-04-06 12:51:21.938385,2999-12-31 23:59:59.000000,True
85,65,2,1,Профессиональный Комплект Коричневый,69987.58,114181.68,2025-11-26 22:29:22.144202,2999-12-31 23:59:59.000000,True
86,66,2,2,Электронный Комплект Вперед,24113.08,31662.6,2025-05-24 12:30:55.544620,2999-12-31 23:59:59.000000,True
87,67,1,4,Базовый Инструмент Анализ,36859.28,45719.31,2025-11-25 16:31:45.725142,2999-12-31 23:59:59.000000,True
88,68,1,2,Профессиональный Синтезатор Промолчать,66405.46,101192.35,2025-09-08 22:06:47.652645,2999-12-31 23:59:59.000000,True
89,69,2,5,Акустический Набор Команда,122552.15,200852.0,2025-09-29 13:32:56.849989,2999-12-31 23:59:59.000000,True
90,70,3,2,Акустический Набор Светило,147868.64,223688.38,2026-02-07 12:24:38.258946,2999-12-31 23:59:59.000000,True
91,71,5,5,Студийный Синтезатор Витрина,83821.75,102944.04,2026-04-20 15:59:18.721782,2999-12-31 23:59:59.000000,True
92,72,4,5,Акустический Синтезатор Кольцо,55647.56,76789.91,2023-12-15 18:28:29.964329,2024-08-08 18:28:29.964329,False
93,72,4,5,Акустический Синтезатор Кольцо,61830.62,85322.12,2024-08-08 18:28:29.964329,2999-12-31 23:59:59.000000,True
94,73,2,3,Студийный Синтезатор Налоговый,137296.43,211083.87,2025-09-09 18:06:45.296128,2999-12-31 23:59:59.000000,True
95,74,2,4,Студийный Комплект Еврейский,31297.17,49700.64,2026-01-26 12:21:04.760008,2999-12-31 23:59:59.000000,True
96,75,1,5,Студийный Инструмент Рассуждение,41000.78,65773.58,2025-06-01 17:12:43.098874,2999-12-31 23:59:59.000000,True
97,76,2,5,Базовый Набор Смеяться,72429.74,124701.15,2025-08-05 16:49:30.402528,2999-12-31 23:59:59.000000,True
98,77,1,2,Студийный Инструмент Монета,112285.0,185562.02,2025-08-05 04:30:41.323929,2999-12-31 23:59:59.000000,True
99,78,2,4,Студийный Усилитель Сынок,48920.64,67013.23,2026-04-17 23:42:14.458311,2999-12-31 23:59:59.000000,True
100,79,3,3,Акустический Усилитель Отметить,132538.98,196105.0,2025-10-15 18:25:19.217058,2999-12-31 23:59:59.000000,True
101,80,3,2,Акустический Комплект Полностью,56408.04,86728.19,2024-12-17 14:26:21.353865,2025-05-03 14:26:21.353865,False
102,80,3,2,Акустический Комплект Полностью,62675.6,96364.66,2025-05-03 14:26:21.353865,2999-12-31 23:59:59.000000,True
103,81,5,5,Базовый Синтезатор Металл,40485.29,53348.07,2025-03-31 23:18:02.904134,2025-12-01 23:18:02.904134,False
104,81,5,5,Базовый Синтезатор Металл,44983.65,59275.63,2025-12-01 23:18:02.904134,2999-12-31 23:59:59.000000,True
105,82,4,5,Акустический Комплект Лететь,114740.73,171327.72,2026-04-08 05:16:21.593560,2999-12-31 23:59:59.000000,True
106,83,4,2,Акустический Набор Обида,19668.44,30051.95,2023-08-12 07:27:07.007558,2024-04-06 07:27:07.007558,False
107,83,4,2,Акустический Набор Обида,21853.82,33391.06,2024-04-06 07:27:07.007558,2999-12-31 23:59:59.000000,True
108,84,1,5,Профессиональный Инструмент Уточнить,141833.03,227064.66,2025-12-06 00:03:51.475453,2999-12-31 23:59:59.000000,True
109,85,2,1,Студийный Инструмент Наткнуться,30230.31,44547.55,2024-11-30 08:29:26.007968,2025-08-20 08:29:26.007968,False
110,85,2,1,Студийный Инструмент Наткнуться,33589.23,49497.28,2025-08-20 08:29:26.007968,2999-12-31 23:59:59.000000,True
111,86,5,4,Электронный Инструмент Ход,1786.72,2735.43,2025-04-22 12:32:59.900002,2025-12-13 12:32:59.900002,False
112,86,5,4,Электронный Инструмент Ход,1985.24,3039.37,2025-12-13 12:32:59.900002,2999-12-31 23:59:59.000000,True
113,87,5,3,Профессиональный Усилитель Слать,122160.43,195996.61,2025-05-24 19:22:51.187718,2999-12-31 23:59:59.000000,True
114,88,1,1,Базовый Набор Заведение,33213.92,52207.92,2024-02-07 05:15:28.981559,2024-08-15 05:15:28.981559,False
115,88,1,1,Базовый Набор Заведение,36904.36,58008.8,2024-08-15 05:15:28.981559,2999-12-31 23:59:59.000000,True
116,89,4,1,Акустический Синтезатор Помимо,69390.66,93394.61,2025-06-29 12:15:48.243876,2999-12-31 23:59:59.000000,True
117,90,1,1,Профессиональный Синтезатор Вскинуть,51759.31,79275.64,2023-07-14 03:27:56.970555,2023-10-24 03:27:56.970555,False
118,90,1,1,Профессиональный Синтезатор Вскинуть,57510.34,88084.04,2023-10-24 03:27:56.970555,2999-12-31 23:59:59.000000,True
119,91,1,4,Электронный Комплект Бабочка,76781.38,131662.87,2024-02-03 04:22:29.832386,2024-09-25 04:22:29.832386,False
120,91,1,4,Электронный Комплект Бабочка,85312.64,146292.08,2024-09-25 04:22:29.832386,2999-12-31 23:59:59.000000,True
121,92,2,2,Базовый Синтезатор Интернет,41393.16,72624.12,2026-04-18 23:51:01.199287,2999-12-31 23:59:59.000000,True
122,93,5,5,Профессиональный Набор Серьезный,139386.19,193564.32,2025-12-23 06:42:07.613575,2999-12-31 23:59:59.000000,True
123,94,4,1,Акустический Набор Головной,85029.77,130947.34,2025-06-18 02:43:54.464931,2999-12-31 23:59:59.000000,True
124,95,5,3,Электронный Набор Манера,106905.79,172501.72,2024-03-22 11:31:31.822173,2025-01-06 11:31:31.822173,False
125,95,5,3,Электронный Набор Манера,118784.21,191668.58,2025-01-06 11:31:31.822173,2999-12-31 23:59:59.000000,True
126,96,1,1,Электронный Набор Следовательно,125962.52,176896.18,2026-05-04 16:08:51.078171,2999-12-31 23:59:59.000000,True
127,97,4,3,Профессиональный Комплект Салон,105973.8,155816.48,2024-11-16 09:46:27.181104,2025-07-15 09:46:27.181104,False
128,97,4,3,Профессиональный Комплект Салон,117748.67,173129.42,2025-07-15 09:46:27.181104,2999-12-31 23:59:59.000000,True
129,98,4,2,Базовый Синтезатор Теория,13768.42,21632.52,2026-04-11 17:29:34.053396,2999-12-31 23:59:59.000000,True
130,99,1,3,Студийный Синтезатор Разводить,107039.9,169159.49,2026-04-29 08:17:13.023016,2999-12-31 23:59:59.000000,True
131,100,1,1,Профессиональный Комплект Строительство,60539.08,100301.62,2025-01-22 12:32:34.819776,2025-05-24 12:32:34.819776,False
132,100,1,1,Профессиональный Комплект Строительство,67265.64,111446.24,2025-05-24 12:32:34.819776,2999-12-31 23:59:59.000000,True
133,101,4,5,Базовый Усилитель Желание,61798.58,75132.07,2025-09-02 11:47:34.493316,2999-12-31 23:59:59.000000,True
134,102,5,3,Электронный Инструмент Багровый,40036.73,57359.82,2025-03-29 02:54:56.248770,2025-11-27 02:54:56.248770,False
135,102,5,3,Электронный Инструмент Багровый,44485.26,63733.13,2025-11-27 02:54:56.248770,2999-12-31 23:59:59.000000,True
136,103,2,5,Базовый Набор Медицина,92800.87,120798.99,2023-11-17 02:49:08.255401,2024-05-03 02:49:08.255401,False
137,103,2,5,Базовый Набор Медицина,103112.08,134221.1,2024-05-03 02:49:08.255401,2999-12-31 23:59:59.000000,True
138,104,1,2,Электронный Комплект Бак,57369.83,85511.95,2023-09-09 06:17:08.765373,2024-02-20 06:17:08.765373,False
139,104,1,2,Электронный Комплект Бак,63744.25,95013.28,2024-02-20 06:17:08.765373,2999-12-31 23:59:59.000000,True
140,105,4,5,Базовый Набор Счастье,62299.24,79823.63,2025-04-16 09:00:15.740493,2025-11-03 09:00:15.740493,False
141,105,4,5,Базовый Набор Счастье,69221.38,88692.92,2025-11-03 09:00:15.740493,2999-12-31 23:59:59.000000,True
142,106,5,4,Акустический Синтезатор Означать,50875.7,85943.57,2025-07-22 07:47:43.162799,2999-12-31 23:59:59.000000,True
143,107,2,3,Акустический Усилитель Четыре,142144.56,187703.44,2025-12-24 08:52:29.390287,2999-12-31 23:59:59.000000,True
144,108,3,3,Электронный Усилитель Роскошный,105762.76,147595.29,2024-03-03 13:17:49.659330,2024-09-19 13:17:49.659330,False
145,108,3,3,Электронный Усилитель Роскошный,117514.18,163994.77,2024-09-19 13:17:49.659330,2999-12-31 23:59:59.000000,True
146,109,5,2,Базовый Усилитель Вытаскивать,25028.24,41561.15,2023-06-19 18:52:21.865009,2024-03-31 18:52:21.865009,False
147,109,5,2,Базовый Усилитель Вытаскивать,27809.15,46179.06,2024-03-31 18:52:21.865009,2999-12-31 23:59:59.000000,True
148,110,2,4,Акустический Инструмент Очередной,123025.87,206362.87,2025-11-09 12:23:53.117515,2999-12-31 23:59:59.000000,True
149,111,3,2,Акустический Набор Разводить,96813.2,162011.66,2023-09-13 18:49:53.801677,2024-05-23 18:49:53.801677,False
150,111,3,2,Акустический Набор Разводить,107570.22,180012.96,2024-05-23 18:49:53.801677,2999-12-31 23:59:59.000000,True
151,112,4,5,Базовый Синтезатор Выдержать,82003.14,137308.73,2026-05-09 04:55:05.849252,2999-12-31 23:59:59.000000,True
152,113,5,5,Профессиональный Инструмент Успокоиться,115574.15,184290.03,2025-06-04 02:10:39.908828,2999-12-31 23:59:59.000000,True
153,114,1,5,Электронный Комплект Привлекать,130402.62,190162.67,2023-07-14 20:45:02.435602,2023-12-27 20:45:02.435602,False
154,114,1,5,Электронный Комплект Привлекать,144891.8,211291.85,2023-12-27 20:45:02.435602,2999-12-31 23:59:59.000000,True
155,115,5,5,Базовый Усилитель Оставить,33933.73,48337.64,2026-02-14 15:27:03.535453,2999-12-31 23:59:59.000000,True
156,116,5,2,Акустический Инструмент Пробовать,72932.89,100447.5,2026-04-30 05:26:44.559963,2999-12-31 23:59:59.000000,True
157,117,2,3,Акустический Комплект Изучить,68844.56,91158.49,2026-01-21 06:01:35.550252,2999-12-31 23:59:59.000000,True
158,118,4,4,Акустический Инструмент Место,41165.42,69409.49,2024-08-09 07:03:49.658069,2025-02-12 07:03:49.658069,False
159,118,4,4,Акустический Инструмент Место,45739.35,77121.65,2025-02-12 07:03:49.658069,2999-12-31 23:59:59.000000,True
160,119,2,2,Базовый Набор Спалить,83234.63,116411.44,2025-12-11 15:26:21.495775,2999-12-31 23:59:59.000000,True
161,120,4,2,Студийный Синтезатор Трясти,59941.77,98450.34,2025-06-07 07:57:15.883084,2999-12-31 23:59:59.000000,True
162,121,4,4,Профессиональный Набор Намерение,31661.89,52286.3,2025-11-16 17:40:57.076465,2999-12-31 23:59:59.000000,True
163,122,1,5,Студийный Комплект Выбирать,44614.58,65785.54,2023-10-13 07:15:41.961017,2024-05-25 07:15:41.961017,False
164,122,1,5,Студийный Комплект Выбирать,49571.75,73095.05,2024-05-25 07:15:41.961017,2999-12-31 23:59:59.000000,True
165,123,3,5,Электронный Усилитель Грустный,59489.06,75464.21,2025-07-20 18:09:22.944521,2999-12-31 23:59:59.000000,True
166,124,2,3,Базовый Усилитель Перебивать,12265.24,15704.03,2023-09-24 05:21:39.613478,2024-03-20 05:21:39.613478,False
167,124,2,3,Базовый Усилитель Перебивать,13628.04,17448.92,2024-03-20 05:21:39.613478,2999-12-31 23:59:59.000000,True
168,125,3,2,Базовый Синтезатор Миг,63317.63,81218.81,2026-03-19 12:16:21.759815,2999-12-31 23:59:59.000000,True
169,126,5,2,Базовый Набор Чувство,73956.66,94973.51,2025-08-20 20:51:43.607206,2999-12-31 23:59:59.000000,True
170,127,1,3,Профессиональный Синтезатор Серьезный,21343.67,36052.22,2025-08-25 02:06:07.672051,2999-12-31 23:59:59.000000,True
171,128,4,4,Электронный Синтезатор Совещание,96130.09,140956.61,2023-05-12 23:42:54.576648,2024-01-11 23:42:54.576648,False
172,128,4,4,Электронный Синтезатор Совещание,106811.21,156618.46,2024-01-11 23:42:54.576648,2999-12-31 23:59:59.000000,True
173,129,2,3,Профессиональный Комплект Армейский,34501.67,47377.77,2025-11-08 14:36:30.009295,2999-12-31 23:59:59.000000,True
174,130,4,5,Базовый Инструмент Изба,86334.39,117478.08,2025-10-21 13:08:02.838496,2999-12-31 23:59:59.000000,True
175,131,5,1,Электронный Усилитель Один,33562.75,48836.92,2025-11-23 15:25:53.737267,2999-12-31 23:59:59.000000,True
176,132,2,3,Профессиональный Синтезатор Тусклый,36143.52,62069.98,2023-08-14 22:00:43.621971,2023-12-22 22:00:43.621971,False
177,132,2,3,Профессиональный Синтезатор Тусклый,40159.47,68966.65,2023-12-22 22:00:43.621971,2999-12-31 23:59:59.000000,True
178,133,2,2,Базовый Комплект Счастье,129296.26,202498.25,2025-09-04 12:49:16.016753,2999-12-31 23:59:59.000000,True
179,134,2,2,Профессиональный Усилитель Тута,53271.51,72910.11,2026-04-14 12:34:39.626410,2999-12-31 23:59:59.000000,True
180,135,3,3,Базовый Комплект Тревога,142907.2,215596.8,2025-05-14 06:46:41.975005,2999-12-31 23:59:59.000000,True
181,136,2,4,Профессиональный Комплект Бровь,130190.09,166139.86,2025-10-31 05:28:00.673568,2999-12-31 23:59:59.000000,True
182,137,3,2,Электронный Синтезатор Грудь,22183.57,35037.64,2025-06-09 05:49:53.869979,2999-12-31 23:59:59.000000,True
183,138,1,1,Электронный Усилитель Цепочка,112720.56,182249.1,2025-12-20 13:57:23.166749,2999-12-31 23:59:59.000000,True
184,139,4,3,Базовый Инструмент Роса,117420.53,200589.54,2024-04-21 03:22:04.168141,2024-11-24 03:22:04.168141,False
185,139,4,3,Базовый Инструмент Роса,130467.26,222877.27,2024-11-24 03:22:04.168141,2999-12-31 23:59:59.000000,True
186,140,3,1,Базовый Синтезатор Изображать,30110.99,43895.39,2025-04-25 22:31:30.897908,2025-10-10 22:31:30.897908,False
187,140,3,1,Базовый Синтезатор Изображать,33456.66,48772.65,2025-10-10 22:31:30.897908,2999-12-31 23:59:59.000000,True
188,141,3,3,Базовый Усилитель Предоставить,20458.54,35013.84,2025-12-01 23:26:56.119864,2999-12-31 23:59:59.000000,True
189,142,1,1,Профессиональный Синтезатор Ставить,3083.33,5419.44,2025-04-24 03:14:35.965707,2025-11-26 03:14:35.965707,False
190,142,1,1,Профессиональный Синтезатор Ставить,-500.0,-1000.0,2025-11-26 03:14:35.965707,2999-12-31 23:59:59.000000,True
191,143,4,2,Студийный Комплект Пространство,22218.88,39097.12,2024-04-29 23:34:25.943457,2025-01-21 23:34:25.943457,False
192,143,4,2,Студийный Комплект Пространство,24687.64,43441.24,2025-01-21 23:34:25.943457,2999-12-31 23:59:59.000000,True
193,144,1,3,Студийный Инструмент Прелесть,60054.89,83074.26,2026-04-28 09:45:07.864558,2999-12-31 23:59:59.000000,True
194,145,1,1,Профессиональный Набор Очко,64839.78,82970.27,2025-02-01 23:18:42.075221,2025-11-02 23:18:42.075221,False
195,145,1,1,Профессиональный Набор Очко,72044.2,92189.19,2025-11-02 23:18:42.075221,2999-12-31 23:59:59.000000,True
196,146,1,3,Профессиональный Синтезатор Непривычный,93969.56,139697.04,2024-01-21 11:38:27.408940,2024-05-22 11:38:27.408940,False
197,146,1,3,Профессиональный Синтезатор Непривычный,104410.62,155218.93,2024-05-22 11:38:27.408940,2999-12-31 23:59:59.000000,True
198,147,1,1,Акустический Комплект Необычный,132267.36,169603.47,2025-09-17 20:26:18.100676,2999-12-31 23:59:59.000000,True
199,148,2,2,Профессиональный Усилитель Песенка,76437.35,119715.53,2025-04-21 15:51:06.125409,2025-10-27 15:51:06.125409,False
200,148,2,2,Профессиональный Усилитель Песенка,84930.39,133017.26,2025-10-27 15:51:06.125409,2999-12-31 23:59:59.000000,True
201,149,2,4,Базовый Синтезатор Фонарик,116220.98,145510.16,2024-07-27 21:06:44.143313,2025-05-15 21:06:44.143313,False
202,149,2,4,Базовый Синтезатор Фонарик,129134.42,161677.95,2025-05-15 21:06:44.143313,2999-12-31 23:59:59.000000,True
203,150,4,3,Электронный Комплект Собеседник,118870.42,160317.19,2025-12-02 08:03:01.589297,2999-12-31 23:59:59.000000,True
204,151,5,5,Базовый Комплект Аж,117066.48,188978.74,2025-11-14 06:29:16.750473,2999-12-31 23:59:59.000000,True
205,152,3,2,Базовый Усилитель Пища,69226.97,114134.94,2024-01-20 21:40:34.183499,2024-05-12 21:40:34.183499,False
206,152,3,2,Базовый Усилитель Пища,76918.86,126816.6,2024-05-12 21:40:34.183499,2999-12-31 23:59:59.000000,True
207,153,2,4,Электронный Инструмент Избегать,33229.06,52596.6,2023-07-09 16:08:57.762794,2023-10-20 16:08:57.762794,False
208,153,2,4,Электронный Инструмент Избегать,36921.18,58440.67,2023-10-20 16:08:57.762794,2999-12-31 23:59:59.000000,True
209,154,3,2,Электронный Усилитель Июнь,57337.8,87601.48,2024-12-22 23:29:12.707587,2025-07-30 23:29:12.707587,False
